"human","affiliate_group"
"0x0223dc01c5e836851431e0741964a73181f18c5e","0x1aca75e38263c79d9d4f10df0635cc6fcfe6f026"
"0x022bb689ecbe40e5c5532992a20b783b2fec4985","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x022c808b194c647e8dc3f57f96dac4da147fafa4","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x023c256d6715e01804eec716c3a772061425b64b","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x024a08b22ef0000d2e049954bd7cfbdbd606f978","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x024b2019038021ceae1feab0f88c23f1afb9021d","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x024be84107f4fb960911b8d4d4f80c491c41d39b","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x024ccefd0beb4e4045bfd4a83580792d7c0fee63","0x1c43a8be1eea4875b9bfe096a8714ca38b78304b"
"0x02523e5650f9436ede8ebed2c5fbc22d47bcd008","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x02542c8dd21e8d4e4a3dd04758a2a7f364398219","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x025d2bae48803f8b02283b6f36dfc866a7114996","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x025d4fc91e76769c8b1f2e07233803d66f09074b","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x026057c361d9d66f7af8762552827d52767b00c5","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x0263dc79268463bea7b18e854a5c292a6c1ec511","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x026649bd0fdef81a487ab7b4d2df4aa0e13cf48a","0x1aca75e38263c79d9d4f10df0635cc6fcfe6f026"
"0x026c0f6410a2c201a25a79a36de18a4b74d932aa","0x1aca75e38263c79d9d4f10df0635cc6fcfe6f026"
"0x026c9e8329136d1847ce59b63340609e10094450","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x02788d65ad7dfa43d6c3ffa7ac4473a5567dcc34","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x027b7cdb3d49e4d1e94734b6f943da16e753b01b","0x1aca75e38263c79d9d4f10df0635cc6fcfe6f026"
"0x0281a57bb35abb201deb142a6e51eed5954b39ae","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x02835de0eeec5cb648f22bbbba6b7fcd8d6f6e9d","0xbb09fb833d5fa0a210fef144a9592e74a6e198df"
"0x0284636acc76fe7475b9ed7774e8891086f0356e","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x02854cd66b22c6d9562d32ac5aed2b2e5e5a0d17","0xfe6b0ced7a77f5e3a0e1f17d14c71a495f229b05"
"0x02864dd560a78b007fc7bde3ec1aae2c036994dc","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
